text,label,topic,concord
"Photosynthesis in plants occurs because chloroplasts within their cells capture sunlight and convert it into energy, producing glucose and releasing oxygen as a byproduct.",mechanistic,Biology,3
"According to a recent extensive marine biology survey, the sudden and widespread onset of coral bleaching events observed across Pacific coral reefs can be directly attributed to persistent elevated sea temperatures, exacerbated by global warming trends.",causation,Marine Biology,4
"Drawing upon evolutionary biology studies, the uniquely specialized structure of the owl's wing feathers, including serrated leading edges, has evolved over millennia to enable silent flight, providing these nocturnal birds with a distinct advantage in stealthily hunting their prey.",functional,Biology,5
Prolonged high blood pressure can lead to kidney damage because the force of the blood against the delicate vessels of the kidneys can impair their filtering capacity over time.,mechanistic,Biomedicine,3
"Smoking damages the cilia in the respiratory tract, leading to decreased clearance of mucus and pathogens, thereby increasing the risk of chronic bronchitis and other respiratory diseases. ",mechanistic,Medicine,5
"Chronic exposure to UV radiation from the sun can break down the skin's connective tissue, collagen, and elastin fibers, causing the skin to become saggy, wrinkled, and less elastic, a process known as photoaging.",mechanistic,Medicine,4
"Excessive alcohol intake over time can cause liver inflammation and scarring, eventually leading to cirrhosis, where the liver's ability to function is compromised.",mechanistic,Biomedicine,3
"Frogs undergo metamorphosis, transitioning from aquatic tadpoles with gills to terrestrial adults with lungs, allowing them to inhabit both water and land environments during different stages of their life.",functional,Biology,4
"The binding of a ligand to a cell receptor activates an intracellular signaling cascade, leading to a specific cellular response.",mechanistic,Biomedicine,4
"While individual neurons process electrical and chemical signals, neural circuits coordinate complex behaviors like walking or speaking",contrastive,Biomedicine,4
Chronic smoking increases the risk of developing lung cancer due to the continuous exposure of lung tissues to carcinogens,causation,Medicine,5
"HIV infects T-helper cells, leading to a weakened immune system and the progression to AIDS",mechanistic,Biomedicine,4
A deficiency of vitamin D in the body can lead to weakened bones and the onset of osteoporosis.,causation,Biomedicine,5
"At the genetic level, mutations in the BRCA1 gene increase the risk of breast and ovarian cancer.",causation,Biomedicine,3
"Beta-blockers work by blocking the effects of the hormone epinephrine, thereby lowering the heart rate and blood pressure.",causation,Biomedicine,3
"While many individuals with similar lifestyles remain unaffected, this patient's combination of a high-sugar diet, sedentary behavior, and genetic predisposition made them more susceptible to developing type 2 diabetes.",contrastive,Biomedicine,4
"Unlike other patients who benefited from the chemotherapy drug, this particular patient had a unique genetic mutation that caused resistance to the medication's active components.",contrastive,Medicine,5
"While Patient A had a robust immune response leading to the production of protective antibodies, Patient B had a pre-existing condition that suppressed their immune response, rendering the vaccine less effective.",contrastive,Medicine,5
"Contrary to younger individuals who metabolize the drug efficiently, elderly patients often have reduced liver and kidney functions, leading to the drug accumulating in their system and causing side effects.",contrastive,Biomedicine,4
"Such behavior was analyzed and explained by Salmas and Androutsopoulos [58]: due to geometric restrictions, the uptake of molecules on the highly curved cylindrical surface is much less efficient than on the flat surface.",causation,Physics,3
"Because then the treatment can be performed at early stage when the cancer cells still are confined in the organ and less likely to metastasize outside of the organ and therefore, the curative rate is always very high, which is supported by numerous clinical evidences that prostate cancer at an early stage is entirely curable, but not the cancer at late stage.",mechanistic,Medicine,4
"However, the results from CDX studies often do not correlate with the results from clinical studies, partly because cancer cell lines fail to represent the true complexity and heterogeneity of tumors (reviewed in [1,2,3]).",causation,Biomedicine,4
"Specifically, mothers explained that they would not choose something that they did not like, because they would not know how to cook or prepare it, because it was unpleasant to think of preparing a disliked food, because they as mothers would have to eat that food, and finally because there are so many food options, so why choose a food that they did not like.",pragmatic,Dietology,5
A study comparing active and passive cycling found that most cortical activation during passive cycling is elicited by sensory feedback because of the moving limbs [30].,causation,Biomedicine,3
"Williams and colleagues also observed that miR206 upregulation after denervation was higher in fast-twitch fibers than in slow-twitch fibers, probably because slow-twitch fibers express higher levels of miR206 in physiological conditions [65].",causation,Biomedicine,3
"Enhancing muscle and, hence, respiratory functions should be a priority in ALS care, because it can improve the patient’s quality of life.",causation,Medicine,4
Forcing mice to run using an electric shock has likely introduces biases in the results because of the stress that is induced in the animals.,causation,Biomedicine,3
Liquid formulations are the most common in paediatrics because of their easy administration.,pragmatic,Biomedicine,4
"Broad spectrum antibiotics are used because culture data may not identify the infecting bacteria or this information may not be available at the time of operation [7,8].",pragmatic,Medicine,4
"As a result, most global regulatory agencies restrict the use of dyes such as tartrazine, because azo dyes have been linked to hypersensitivity and ADHD reactions in children.",correlation,Biomedicine,3
"One potential explanation regarding ""what drives SCC initiation or development"" may be that the accumulation of oncogenic mutations working in concert with each other more potently drives tumor formation than individual genomic aberrations.",correlation,Biomedicine,2
Multiples lines of evidence demonstrating the in vitro ability of Nrf2 inhibition to sensitize SCCs to chemotherapy make Nrf2 an attractive target for evaluation in clinical trials.6.4.,pragmatic,Biomedicine,4
"The scientific literature suggests that most commercialized drugs are not suitable to be used on the paediatric population, as they are presented in an inappropriate pharmaceutical dosage or form, or because of the excipients they contain.",causation,Biomedicine,2
"Because the sorption processes tend to be exothermic, and because the sorption performance can vary depending on temperature, constant temperature is the basic requirement during biosorption.",causation,Physics,3
"The Langmuir model is the most commonly used one in practice, because it contains two useful and easily imaginable parameters (Qmax and KL), which are easy to understand because they reflect two important characteristics of the sorption system.",pragmatic,Physics,4
"Untreated crude biosorbents usually have a lower sorption capacity for metal ions than, for example, chemically modified biosorbents, because their surface lacks suitable chemical functional groups.",contrastive,Physics,4
"For hormone-sensitive breast cancers, the use of tamoxifen is contraindicated during pregnancy because of its supposed association with fetal malformation [21].",correlation,Biomedicine,2
"The last ESMO clinical practice guidelines mention that ipilimumab (a monoclonal antibody against CTLA4) or vemurafenib (a BRAF inhibitor) should not be used during pregnancy because of the lack of safety data, proposing an alternative to interferon-alpha [17].",causation,Biomedicine,2
"The authors showed a fetal transfer rate of 16.8% and 31.4% for gefitinib and erlotinib, respectively, and therefore suggested that gefitinib may be preferrable over erlotinib for administration to pregnant women.",contrastive,Biomedicine,4
"Then, we proceeded with a preliminary study that confirmed the possible use of IA on horse hoof and led to exclusion of the use of the rear hooves, as they are more prone to being soiled with fecal material, both because of the conformation of the sole and its anatomical position.",causation,Biology,3
"According to Kim and colleagues, high amounts of sulfur and iron in their soils could explain the high abundance of Thiobacillus.",correlation,Biology,4
"Natural fillers are becoming more popular as alternative materials for NR reinforcement, because they are biodegradable, environmentally friendly, cheap to purchase and help to reduce domestic waste [6].",pragmatic,Chemistry,3
"WRHA particles have larger particle sizes, as compared to BRHA particles, due to the higher degree of agglomeration of the WRHA powders, because of their higher silica content.Pore size distributions of BRHA and WRHA are shown in Figure 4.",contrastive,Chemistry,2
"Daemi and Barikani (2012) had previously reported that the absorption regions of O–H group in calcium alginate were narrower than the normal peak of sodium alginate, because the calcium ion decreased in hydrogen bonding between hydroxyl functional groups, resulting in narrower bands of calcium alginate [30].",mechanistic,Chemistry,5
"(2) Intermediate water is more weakly bound to the macromolecules than bound water and consequently has higher mobility and is freezable, albeit at temperatures below 0 °C.",contrastive,Physics,3
"Theoretically, there will always be a concentration difference between hydrogels and the medium because the surrounding water can be defined as infinite in magnitude.",causation,Physics,4
"It has been demonstrated that β-glucans must be administered orally because intravenously administered glucans are rapidly scavenged by CR3 blood granulocytes and liver Kupffer cells, and only a small amount of glucans reaches the tissue macrophages that could migrate into tumors [154].",mechanistic,Biomedicine,3
"Unpurified LNPs dry powder has bright brown coloration because it contains natural impurities such as fatty acids, waxes, lipids, and tannins.",causation,Chemistry,4
Other TumorsH2S produced by bacteria freely enters the cells because of its lipophilicity and small size [133].,causation,Biomedicine,5
"Finally, because miR-615-3p is known to repress LCOR in macrophages [87], its downregulation in severe BPD may result in high LCOR levels, which also contribute to decreased PPARG.",correlation,Biomedicine,3
"Sodium azide, the first known SecA inhibitor [26] is not a usable antibacterial because it is non-selective and inhibits eukaryotic enzymes such as other ATPases [27].",causation,Biomedicine,3
An increase in eNOS phosphorylation on serine 1177 could also be explained by an increase in the interaction between Akt1 and eNOS.,correlation,Biomedicine,5
"In whole specimens, it is possible to differentiate D. dentex from the other species belonging to the same genera because it has caniniform teeth that are quite linear and quite high compared to the cogeneric D. barnardi and D. canariensis, where they are more robust and of a bigger diameter.",contrastive,Biology,5
"Although the manufacturer’s irradiance value for the Bluephase PowerCure (3 s protocol) is 3050 mW/cm2, our measured value was around 2400 mW/cm2, which may be partially explained by the difference in measuring devices and the variance in diameter among the sensor and light curing tip.",contrastive,Physics,3
"For the vascular and renal complications of diabetes, evidence for a protective role of kinins and B2R comes from the observation of aggravated diabetic nephropathy in several animal models sharing the absence of B2R activation secondary to either inactivation of the B2R gene or reduced bioavailability of endogenous kinins in tissue kallikrein knock-out mice [29] or mice expressing three copies of the ACE /kininaseII gene [83].",correlation,Biomedicine,3
"A mixed ACE-neprilysin inhibitor, omapatrilat, has been designed and tested in clinical trials but eventually not approved for clinical use because of its poor tolerance with a high incidence of angioedema [65].",causation,Biomedicine,4
"This is not surprising given that most SNAREs rely on a hydrophobic core for SNARE complex formation and would explain why the S174D mutant, which introduces a negative charge, showed less SNARE interactions when compared to the S174A mutant.",contrastive,Biomedicine,4
Acylcarnitines present very high bioavailability compared to L-carnitine because they have a better ability to cross the blood–brain barrier compared to L-carnitine.,contrastive,Biomedicine,4
"When fatty acid oxidation is disturbed, fats cannot be used, so glucose is used without regeneration in the cycle of gluconeogenesis because of pyruvate carboxylase inhibition, ketone bodies cannot be produced, glucose level (hypoglycemia) decreases, and brain functioning impairment with loss of consciousness can occur; therefore, lipids play pivotal roles in the development and function of the human brain and body by acting as regulatory molecules.",mechanistic,Biomedicine,5
Symptoms of disturbances in biosynthesis and excretion of carnitine occur because of energy shortages and the accumulation of fatty acids in some organs.,causation,Biomedicine,4
"The low concentrations of plasma carnitines in patients with SPCD are caused by excessive urinary carnitine excretion because of defective reversible absorption in renal tubules; therefore, the carnitine level in plasma and tissues (heart and skeletal muscles) may drop to below 10% of normal values.",mechanistic,Biomedicine,4
Secondary carnitine deficiency may result from defects in any enzyme participating in the mitochondrial oxidation of fatty acids because excess fatty acids linked to carnitine are excreted into the urine as acylcarnitines.,causation,Biomedicine,4
"Therefore, with secondary carnitine deficiency, the free carnitine pool is shifted in the direction of acylcarnitines because carnitine is used to eliminate the acyl groups of the accumulated fatty acids resulting from the dysfunction of fatty acids mitochondrial metabolism.",mechanistic,Biomedicine,4
Supplementation with carnitine in secondary carnitine deficiency requires small carnitine doses because carnitine levels may be normalized quickly.,causation,Biomedicine,3
"Additionally, in neonates, endogenic carnitine synthesis is limited because of the immaturity of liver enzymes, particularly γ-butyrobetaine dioxygenase (BBD), and the immaturity of renal canaliculus, which decreases the kidney’s carnitine reabsorption ability [7].",causation,Biomedicine,4
L-carnitine supplementation is necessary during the treatment of ASD children with valproic acid because L-carnitine supplementation decreases hyperammonemia in patients with encephalopathy induced by valproic acid.,causation,Biomedicine,2
"The GSH concentration in serum, as well as the brain of patients with ASD, is lower, but the ratio of oxidized glutathione (GSSG) to reduced glutathione is higher because of impaired GSH synthesis.",contrastive,Biomedicine,3
"A meta-regression of published trials concluded that greater improvements in DXA-based BMD is strongly associated with greater reduction in fracture risk, particularly for spine and hip fractures.",correlation,Biomedicine,5
"Moreover, the importance of vegetation succession is low in cases when the effects of climate change in grassland species (such as D. hatagirea) are considered, because forest establishment in an area is a much slower process compared to the upward shift of a grassland herbaceous plant [69,70].",contrastive,Environmental Studies,4
"The participants considered that the indication of clear and precise dosage regimen instructions for dermatological skin treatments are important because contributes to increase adherence and effectiveness of topical treatment and to minimize the adverse effects of topical medicines, in line with Yamaura [40] observations.",pragmatic,Pharmacy,3
"Meanwhile, the temperature of a large objective lens was higher than that of a small objective lens, because the concentration of light was stronger when the magnification of the objective lens was increased.",contrastive,Physics,4
"The loss of the structure and location of secretory organelles when parasites were treated with DHEA could be in concordance with the reduction in the invasion and the ability to escape the macrophage lysis, because both mechanisms depend on the secreted proteins from micronemes, rhoptries, and dense granules.",correlation,Biomedicine,3
"Therefore, plant phenolics are beneficial because they not only conserve the quality of plant-based food and food products but also reduce the risk of the development of some human disorders, such as cardiovascular diseases, arteriosclerosis, cancer, diabetes, cataract, disorders of cognitive function, and neurological diseases [1,2,3].",causation,Biology,3
"Central nervous system (CNS) neurons are not able to regenerate in mammals, therefore, an effective neuroprotective strategy to protect or regenerate retinal neurons during disease progression is urgently needed.",causation,Biology,3
"Iron is required by most bacterial pathogens for growth and survival, and is therefore essential during the establishment of host colonization and infection.",causation,Biology,5
"Early treatment of femoral neck fracture by surgery is fundamental in elderly patients, because it reduces the risk of mortality and disability.",pragmatic,Biomedicine,3
"Studies regarding femur fracture are often related to senior patients, especially females [1], who are commonly affected by osteoporosis [2] due to their bone fragility and are therefore more likely to suffer the aforementioned fracture.",causation,Biomedicine,2
Solid-state light-emitting diodes (LEDs) have become increasingly popular because of their efficient conversion of electrical energy to light energy for indoor plant cultivation [3].,pragmatic,Physics,2
Nano-montmorillonite is a type of layered silicate with a thickness of less than 10 nm and therefore has a very large value of aspect ratio.,causation,Physics,5
"The precise antimicrobial mechanism of action of chitosan is yet to be fully understood; still, based on the literature, the most likely antimicrobial mechanisms of action of chitosan include the disruption of the cell wall and, consequently, an effect on the membrane’s permeability, inhibition of DNA replication, cell death, and bindings to the trace metal elements resulting in toxin production and microbial growth inhibition [63].",mechanistic,Biomedicine,3
"The results of effective wound healing with BC-ZnO NPs-BDP nanocomposites can be explained by the synergistic effect of all nanocomposite components, which regulate oxygenation and microcirculation, reducing hypoxia and oxidative stress in a burn wound.",mechanistic,Biomedicine,4
Maxent (software) is widely used because of its excellent predictive performance.,pragmatic,Biology,5
"Particularly, the relevance of rat and mouse as pathological models for the human has become insecure because of the wide quantitative gulf between necessary daily carcinogenic exposure for rodents and surveyed average natural daily human intake data.",causation,Biomedicine,3
"In summary, the expression, axonal transport, signaling, and accessibility of opioid receptors on DRG neurons depends on receptor type and duration of injury, and these mechanisms apparently contribute to enhanced analgesia and/or antiinflammatory effects",functional,Biomedicine,2
"Alprazolam therapy can increase the oral bioavailability of lithium carbonate in bipolar patients with generalised anxiety, probably due to a decrease in gastro-intestinal symptoms.",correlation,Biomedicine,3
"Interactions between alprazolam and antidepressants have been particularly studied, due to the high frequency of coadministration, and most second-generation antidepressants, such as SSRIs (selective serotonin reuptake inhibitors), have been tested for this purpose.",causation,Biomedicine,2
"Formation of the heart involves a wondrous and precisely orchestrated series of molecular and morphogenetic events, and even subtle perturbation of this process can have catastrophic consequences in the form of congenital heart disease (CHD).",functional,Biomedicine,3
"Functional redundancy between Nkx2.5 and other cardiac-expressed homeobox genes in vertebrates is suggested by the ability of dominant-negative versions of Nkx2.5 to block cardiogenesis in frog and zebrafish embryos6,7.",correlation,Biology,2
" In all vertebrates, the linear heart tube undergoes rightward looping, which is essential for proper orientation of the pulmonary (right) and systemic (left) ventricles, and for alignment of the heart chambers with the vasculature. ",functional,Biology,4
"The molecular mechanisms governing cardiac looping remain unknown, but identification of genes differentially expressed along the outer and inner curvatures of the looped heart tube suggests that intrinsic properties of the two surfaces may underlie this critical morphogenetic event.",causation,Biology,2
"The common association of human cardiac alignment defects with abnormalities in left–right asymmetry points to intersecting pathways that regulate the direction and process of cardiac looping, and highlights the clinical significance of this area of study.",correlation,Biology,3
"Early in development, septation of the cardiac tube into distinct chambers is achieved through regional swellings of extracellular matrix, known as cardiac cushions, that form the anlage of atrioventricular and ventriculoarterial valves (Fig. 1).",functional,Biology,3
"Disruption of the Forkhead transcription factor Mfh1 causes hypoplasia of the fourth aortic arch artery in mice, resulting in absence of the transverse aortic arch37. ",mechanistic,Biomedicine,5
"The incidence of sudden death is higher in men than women, largely because women are protected from coronary heart disease during the premenopausal years.",causation,Biomedicine,4
"The distinction between natural and accidental iatrogenic deaths may be difficult and somewhat arbitrary, but generally the death is considered natural if the procedure carries a significant risk of a fatal complication, and the condition is life threatening.",pragmatic,Medicine,4
"The proportion of deaths from ischemic heart disease that are sudden declines with advancing age, because older patients are more likely to die of complications of heart failure, rather than ventricular arrhythmias.",contrastive,Biomedicine,3
"Abstinence from methamphetamines is the bedrock of reversibility, for in animal studies, even rats with advanced changes of cardiac remodelling such as myolysis, fibrosis and vacuolation demonstrated myocardial recovery upon cessation of methamphetamines [9].",causation,Biomedicine,3
"For patients with a significant history of methamphetamine abuse, it is reasonable to perform a 12-lead ECG to screen for cardiac complications based on the quoted 54% prevalence of cardiovascular disease in cases of methamphetamine abuse.",correlation,Biomedicine,3
"In fact, bioinformatic analysis predicts that each miRNA may regulate hundreds of targets, suggesting that miRNAs may play a role in almost every biological pathway [6].",correlation,Biomedicine,3
"Delta papillomaviruses infect ungulates, such as cattle, moose, and deer, resulting in the formation of warts characterized by a prominent dermal fibroblast proliferative component as well as an overlying epithelial papilloma (Fig. 2), unlike papillomas caused by other papillomaviruses (such as the human papillomaviruses, which express distinct E5 proteins or no E5 protein at all) which consist exclusively of epithelial keratinocytes.",contrastive,Biology,4